Date,Province,Forecast
2029-02-01,Quebec,3907999.9632015266
2029-03-01,Quebec,3907999.9632015266
2029-04-01,Quebec,3907999.9632015266
2029-05-01,Quebec,3907999.9632015266
2029-06-01,Quebec,3907999.9632015266
2029-07-01,Quebec,3907999.9632015266
2029-08-01,Quebec,3907999.9632015266
2029-09-01,Quebec,3907999.9632015266
2029-10-01,Quebec,3907999.9632015266
2029-11-01,Quebec,3907999.9632015266
2029-12-01,Quebec,3907999.9632015266
2030-01-01,Quebec,3907999.9632015266
2030-02-01,Quebec,3907999.9632015266
2030-03-01,Quebec,3907999.9632015266
2030-04-01,Quebec,3907999.9632015266
2030-05-01,Quebec,3907999.9632015266
2030-06-01,Quebec,3907999.9632015266
2030-07-01,Quebec,3907999.9632015266
2030-08-01,Quebec,3907999.9632015266
2030-09-01,Quebec,3907999.9632015266
2030-10-01,Quebec,3907999.9632015266
2030-11-01,Quebec,3907999.9632015266
2030-12-01,Quebec,3907999.9632015266
2031-01-01,Quebec,3907999.9632015266
2031-02-01,Quebec,3907999.9632015266
2031-03-01,Quebec,3907999.9632015266
2031-04-01,Quebec,3907999.9632015266
2031-05-01,Quebec,3907999.9632015266
2031-06-01,Quebec,3907999.9632015266
2031-07-01,Quebec,3907999.9632015266
2031-08-01,Quebec,3907999.9632015266
2031-09-01,Quebec,3907999.9632015266
2031-10-01,Quebec,3907999.9632015266
2031-11-01,Quebec,3907999.9632015266
2031-12-01,Quebec,3907999.9632015266
2032-01-01,Quebec,3907999.9632015266
2032-02-01,Quebec,3907999.9632015266
2032-03-01,Quebec,3907999.9632015266
2032-04-01,Quebec,3907999.9632015266
2032-05-01,Quebec,3907999.9632015266
2032-06-01,Quebec,3907999.9632015266
2032-07-01,Quebec,3907999.9632015266
2032-08-01,Quebec,3907999.9632015266
2032-09-01,Quebec,3907999.9632015266
2032-10-01,Quebec,3907999.9632015266
2032-11-01,Quebec,3907999.9632015266
2032-12-01,Quebec,3907999.9632015266
2033-01-01,Quebec,3907999.9632015266
2033-02-01,Quebec,3907999.9632015266
2033-03-01,Quebec,3907999.9632015266
2033-04-01,Quebec,3907999.9632015266
2033-05-01,Quebec,3907999.9632015266
2033-06-01,Quebec,3907999.9632015266
2033-07-01,Quebec,3907999.9632015266
2033-08-01,Quebec,3907999.9632015266
2033-09-01,Quebec,3907999.9632015266
2033-10-01,Quebec,3907999.9632015266
2033-11-01,Quebec,3907999.9632015266
2033-12-01,Quebec,3907999.9632015266
2034-01-01,Quebec,3907999.9632015266
2034-02-01,Quebec,3907999.9632015266
2034-03-01,Quebec,3907999.9632015266
2034-04-01,Quebec,3907999.9632015266
2034-05-01,Quebec,3907999.9632015266
2034-06-01,Quebec,3907999.9632015266
2034-07-01,Quebec,3907999.9632015266
2034-08-01,Quebec,3907999.9632015266
2034-09-01,Quebec,3907999.9632015266
2034-10-01,Quebec,3907999.9632015266
2024-11-01,Canada,16232999.91665626
2024-12-01,Canada,16232999.993126474
2025-01-01,Canada,16233000.042102577
2025-02-01,Canada,16233000.050420037
2025-03-01,Canada,16233000.04544399
2025-04-01,Canada,16233000.041743284
2025-05-01,Canada,16233000.040972412
2025-06-01,Canada,16233000.04128476
2025-07-01,Canada,16233000.041561218
2025-08-01,Canada,16233000.041629346
2025-09-01,Canada,16233000.041610723
2025-10-01,Canada,16233000.041590307
2025-11-01,Canada,16233000.041584486
2025-12-01,Canada,16233000.041585509
2026-01-01,Canada,16233000.041586999
2026-02-01,Canada,16233000.041587483
2026-03-01,Canada,16233000.041587435
2026-04-01,Canada,16233000.041587329
2026-05-01,Canada,16233000.041587288
2026-06-01,Canada,16233000.04158729
2026-07-01,Canada,16233000.041587297
2026-08-01,Canada,16233000.0415873
2026-09-01,Canada,16233000.0415873
2026-10-01,Canada,16233000.0415873
2026-11-01,Canada,16233000.0415873
2026-12-01,Canada,16233000.0415873
2027-01-01,Canada,16233000.0415873
2027-02-01,Canada,16233000.0415873
2027-03-01,Canada,16233000.0415873
2027-04-01,Canada,16233000.0415873
2027-05-01,Canada,16233000.0415873
2027-06-01,Canada,16233000.0415873
2027-07-01,Canada,16233000.0415873
2027-08-01,Canada,16233000.0415873
2027-09-01,Canada,16233000.0415873
2027-10-01,Canada,16233000.0415873
2027-11-01,Canada,16233000.0415873
2027-12-01,Canada,16233000.0415873
2028-01-01,Canada,16233000.0415873
2028-02-01,Canada,16233000.0415873
2028-03-01,Canada,16233000.0415873
2028-04-01,Canada,16233000.0415873
2028-05-01,Canada,16233000.0415873
2028-06-01,Canada,16233000.0415873
2028-07-01,Canada,16233000.0415873
2028-08-01,Canada,16233000.0415873
2028-09-01,Canada,16233000.0415873
2028-10-01,Canada,16233000.0415873
2028-11-01,Canada,16233000.0415873
2028-12-01,Canada,16233000.0415873
2029-01-01,Canada,16233000.0415873
2029-02-01,Canada,16233000.0415873
2029-03-01,Canada,16233000.0415873
2029-04-01,Canada,16233000.0415873
2029-05-01,Canada,16233000.0415873
2029-06-01,Canada,16233000.0415873
2029-07-01,Canada,16233000.0415873
2029-08-01,Canada,16233000.0415873
2029-09-01,Canada,16233000.0415873
2029-10-01,Canada,16233000.0415873
2029-11-01,Canada,16233000.0415873
2029-12-01,Canada,16233000.0415873
2030-01-01,Canada,16233000.0415873
2030-02-01,Canada,16233000.0415873
2030-03-01,Canada,16233000.0415873
2030-04-01,Canada,16233000.0415873
2030-05-01,Canada,16233000.0415873
2030-06-01,Canada,16233000.0415873
2030-07-01,Canada,16233000.0415873
2030-08-01,Canada,16233000.0415873
2030-09-01,Canada,16233000.0415873
2030-10-01,Canada,16233000.0415873
2030-11-01,Canada,16233000.0415873
2030-12-01,Canada,16233000.0415873
2031-01-01,Canada,16233000.0415873
2031-02-01,Canada,16233000.0415873
2031-03-01,Canada,16233000.0415873
2031-04-01,Canada,16233000.0415873
2031-05-01,Canada,16233000.0415873
2031-06-01,Canada,16233000.0415873
2031-07-01,Canada,16233000.0415873
2031-08-01,Canada,16233000.0415873
2031-09-01,Canada,16233000.0415873
2031-10-01,Canada,16233000.0415873
2031-11-01,Canada,16233000.0415873
2031-12-01,Canada,16233000.0415873
2032-01-01,Canada,16233000.0415873
2032-02-01,Canada,16233000.0415873
2032-03-01,Canada,16233000.0415873
2032-04-01,Canada,16233000.0415873
2032-05-01,Canada,16233000.0415873
2032-06-01,Canada,16233000.0415873
2032-07-01,Canada,16233000.0415873
2032-08-01,Canada,16233000.0415873
2032-09-01,Canada,16233000.0415873
2032-10-01,Canada,16233000.0415873
2032-11-01,Canada,16233000.0415873
2032-12-01,Canada,16233000.0415873
2033-01-01,Canada,16233000.0415873
2033-02-01,Canada,16233000.0415873
2033-03-01,Canada,16233000.0415873
2033-04-01,Canada,16233000.0415873
2033-05-01,Canada,16233000.0415873
2033-06-01,Canada,16233000.0415873
2033-07-01,Canada,16233000.0415873
2033-08-01,Canada,16233000.0415873
2033-09-01,Canada,16233000.0415873
2033-10-01,Canada,16233000.0415873
2033-11-01,Canada,16233000.0415873
2033-12-01,Canada,16233000.0415873
2034-01-01,Canada,16233000.0415873
2034-02-01,Canada,16233000.0415873
2034-03-01,Canada,16233000.0415873
2034-04-01,Canada,16233000.0415873
2034-05-01,Canada,16233000.0415873
2034-06-01,Canada,16233000.0415873
2034-07-01,Canada,16233000.0415873
2034-08-01,Canada,16233000.0415873
2034-09-01,Canada,16233000.0415873
2034-10-01,Canada,16233000.0415873
2024-11-01,Alberta,2041000.0052597877
2024-12-01,Alberta,2041000.0055819135
2025-01-01,Alberta,2041000.0056101885
2025-02-01,Alberta,2041000.0056139585
2025-03-01,Alberta,2041000.0056145955
2025-04-01,Alberta,2041000.0056147128
2025-05-01,Alberta,2041000.0056147352
2025-06-01,Alberta,2041000.005614739
2025-07-01,Alberta,2041000.005614739
2025-08-01,Alberta,2041000.005614739
2025-09-01,Alberta,2041000.005614739
2025-10-01,Alberta,2041000.005614739
2025-11-01,Alberta,2041000.005614739
2025-12-01,Alberta,2041000.005614739
2026-01-01,Alberta,2041000.005614739
2026-02-01,Alberta,2041000.005614739
2026-03-01,Alberta,2041000.005614739
2026-04-01,Alberta,2041000.005614739
2026-05-01,Alberta,2041000.005614739
2026-06-01,Alberta,2041000.005614739
2026-07-01,Alberta,2041000.005614739
2026-08-01,Alberta,2041000.005614739
2026-09-01,Alberta,2041000.005614739
2026-10-01,Alberta,2041000.005614739
2026-11-01,Alberta,2041000.005614739
2026-12-01,Alberta,2041000.005614739
2027-01-01,Alberta,2041000.005614739
2027-02-01,Alberta,2041000.005614739
2027-03-01,Alberta,2041000.005614739
2027-04-01,Alberta,2041000.005614739
2027-05-01,Alberta,2041000.005614739
2027-06-01,Alberta,2041000.005614739
2027-07-01,Alberta,2041000.005614739
2027-08-01,Alberta,2041000.005614739
2027-09-01,Alberta,2041000.005614739
2027-10-01,Alberta,2041000.005614739
2027-11-01,Alberta,2041000.005614739
2027-12-01,Alberta,2041000.005614739
2028-01-01,Alberta,2041000.005614739
2028-02-01,Alberta,2041000.005614739
2028-03-01,Alberta,2041000.005614739
2028-04-01,Alberta,2041000.005614739
2028-05-01,Alberta,2041000.005614739
2028-06-01,Alberta,2041000.005614739
2028-07-01,Alberta,2041000.005614739
2028-08-01,Alberta,2041000.005614739
2028-09-01,Alberta,2041000.005614739
2028-10-01,Alberta,2041000.005614739
2028-11-01,Alberta,2041000.005614739
2028-12-01,Alberta,2041000.005614739
2029-01-01,Alberta,2041000.005614739
2029-02-01,Alberta,2041000.005614739
2029-03-01,Alberta,2041000.005614739
2029-04-01,Alberta,2041000.005614739
2029-05-01,Alberta,2041000.005614739
2029-06-01,Alberta,2041000.005614739
2029-07-01,Alberta,2041000.005614739
2029-08-01,Alberta,2041000.005614739
2029-09-01,Alberta,2041000.005614739
2029-10-01,Alberta,2041000.005614739
2029-11-01,Alberta,2041000.005614739
2029-12-01,Alberta,2041000.005614739
2030-01-01,Alberta,2041000.005614739
2030-02-01,Alberta,2041000.005614739
2030-03-01,Alberta,2041000.005614739
2030-04-01,Alberta,2041000.005614739
2030-05-01,Alberta,2041000.005614739
2030-06-01,Alberta,2041000.005614739
2030-07-01,Alberta,2041000.005614739
2030-08-01,Alberta,2041000.005614739
2030-09-01,Alberta,2041000.005614739
2030-10-01,Alberta,2041000.005614739
2030-11-01,Alberta,2041000.005614739
2030-12-01,Alberta,2041000.005614739
2031-01-01,Alberta,2041000.005614739
2031-02-01,Alberta,2041000.005614739
2031-03-01,Alberta,2041000.005614739
2031-04-01,Alberta,2041000.005614739
2031-05-01,Alberta,2041000.005614739
2031-06-01,Alberta,2041000.005614739
2031-07-01,Alberta,2041000.005614739
2031-08-01,Alberta,2041000.005614739
2031-09-01,Alberta,2041000.005614739
2031-10-01,Alberta,2041000.005614739
2031-11-01,Alberta,2041000.005614739
2031-12-01,Alberta,2041000.005614739
2032-01-01,Alberta,2041000.005614739
2032-02-01,Alberta,2041000.005614739
2032-03-01,Alberta,2041000.005614739
2032-04-01,Alberta,2041000.005614739
2032-05-01,Alberta,2041000.005614739
2032-06-01,Alberta,2041000.005614739
2032-07-01,Alberta,2041000.005614739
2032-08-01,Alberta,2041000.005614739
2032-09-01,Alberta,2041000.005614739
2032-10-01,Alberta,2041000.005614739
2032-11-01,Alberta,2041000.005614739
2032-12-01,Alberta,2041000.005614739
2033-01-01,Alberta,2041000.005614739
2033-02-01,Alberta,2041000.005614739
2033-03-01,Alberta,2041000.005614739
2033-04-01,Alberta,2041000.005614739
2033-05-01,Alberta,2041000.005614739
2033-06-01,Alberta,2041000.005614739
2033-07-01,Alberta,2041000.005614739
2033-08-01,Alberta,2041000.005614739
2033-09-01,Alberta,2041000.005614739
2033-10-01,Alberta,2041000.005614739
2033-11-01,Alberta,2041000.005614739
2033-12-01,Alberta,2041000.005614739
2034-01-01,Alberta,2041000.005614739
2034-02-01,Alberta,2041000.005614739
2034-03-01,Alberta,2041000.005614739
2034-04-01,Alberta,2041000.005614739
2034-05-01,Alberta,2041000.005614739
2034-06-01,Alberta,2041000.005614739
2034-07-01,Alberta,2041000.005614739
2034-08-01,Alberta,2041000.005614739
2034-09-01,Alberta,2041000.005614739
2034-10-01,Alberta,2041000.005614739
2024-11-01,British Columbia,2181000.001390241
2024-12-01,British Columbia,2181000.0062388405
2025-01-01,British Columbia,2181000.0048354045
2025-02-01,British Columbia,2181000.0047841966
2025-03-01,British Columbia,2181000.0049199983
2025-04-01,British Columbia,2181000.004888542
2025-05-01,British Columbia,2181000.004885033
2025-06-01,British Columbia,2181000.0048886985
2025-07-01,British Columbia,2181000.0048880354
2025-08-01,British Columbia,2181000.004887894
2025-09-01,British Columbia,2181000.0048879907
2025-10-01,British Columbia,2181000.0048879758
2025-11-01,British Columbia,2181000.0048879683
2025-12-01,British Columbia,2181000.0048879683
2026-01-01,British Columbia,2181000.0048879683
2026-02-01,British Columbia,2181000.0048879683
2026-03-01,British Columbia,2181000.0048879683
2026-04-01,British Columbia,2181000.0048879683
2026-05-01,British Columbia,2181000.0048879683
2026-06-01,British Columbia,2181000.0048879683
2026-07-01,British Columbia,2181000.0048879683
2026-08-01,British Columbia,2181000.0048879683
2026-09-01,British Columbia,2181000.0048879683
2026-10-01,British Columbia,2181000.0048879683
2026-11-01,British Columbia,2181000.0048879683
2026-12-01,British Columbia,2181000.0048879683
2027-01-01,British Columbia,2181000.0048879683
2027-02-01,British Columbia,2181000.0048879683
2027-03-01,British Columbia,2181000.0048879683
2027-04-01,British Columbia,2181000.0048879683
2027-05-01,British Columbia,2181000.0048879683
2027-06-01,British Columbia,2181000.0048879683
2027-07-01,British Columbia,2181000.0048879683
2027-08-01,British Columbia,2181000.0048879683
2027-09-01,British Columbia,2181000.0048879683
2027-10-01,British Columbia,2181000.0048879683
2027-11-01,British Columbia,2181000.0048879683
2027-12-01,British Columbia,2181000.0048879683
2028-01-01,British Columbia,2181000.0048879683
2028-02-01,British Columbia,2181000.0048879683
2028-03-01,British Columbia,2181000.0048879683
2028-04-01,British Columbia,2181000.0048879683
2028-05-01,British Columbia,2181000.0048879683
2028-06-01,British Columbia,2181000.0048879683
2028-07-01,British Columbia,2181000.0048879683
2028-08-01,British Columbia,2181000.0048879683
2028-09-01,British Columbia,2181000.0048879683
2028-10-01,British Columbia,2181000.0048879683
2028-11-01,British Columbia,2181000.0048879683
2028-12-01,British Columbia,2181000.0048879683
2029-01-01,British Columbia,2181000.0048879683
2029-02-01,British Columbia,2181000.0048879683
2029-03-01,British Columbia,2181000.0048879683
2029-04-01,British Columbia,2181000.0048879683
2029-05-01,British Columbia,2181000.0048879683
2029-06-01,British Columbia,2181000.0048879683
2029-07-01,British Columbia,2181000.0048879683
2029-08-01,British Columbia,2181000.0048879683
2029-09-01,British Columbia,2181000.0048879683
2029-10-01,British Columbia,2181000.0048879683
2029-11-01,British Columbia,2181000.0048879683
2029-12-01,British Columbia,2181000.0048879683
2030-01-01,British Columbia,2181000.0048879683
2030-02-01,British Columbia,2181000.0048879683
2030-03-01,British Columbia,2181000.0048879683
2030-04-01,British Columbia,2181000.0048879683
2030-05-01,British Columbia,2181000.0048879683
2030-06-01,British Columbia,2181000.0048879683
2030-07-01,British Columbia,2181000.0048879683
2030-08-01,British Columbia,2181000.0048879683
2030-09-01,British Columbia,2181000.0048879683
2030-10-01,British Columbia,2181000.0048879683
2030-11-01,British Columbia,2181000.0048879683
2030-12-01,British Columbia,2181000.0048879683
2031-01-01,British Columbia,2181000.0048879683
2031-02-01,British Columbia,2181000.0048879683
2031-03-01,British Columbia,2181000.0048879683
2031-04-01,British Columbia,2181000.0048879683
2031-05-01,British Columbia,2181000.0048879683
2031-06-01,British Columbia,2181000.0048879683
2031-07-01,British Columbia,2181000.0048879683
2031-08-01,British Columbia,2181000.0048879683
2031-09-01,British Columbia,2181000.0048879683
2031-10-01,British Columbia,2181000.0048879683
2031-11-01,British Columbia,2181000.0048879683
2031-12-01,British Columbia,2181000.0048879683
2032-01-01,British Columbia,2181000.0048879683
2032-02-01,British Columbia,2181000.0048879683
2032-03-01,British Columbia,2181000.0048879683
2032-04-01,British Columbia,2181000.0048879683
2032-05-01,British Columbia,2181000.0048879683
2032-06-01,British Columbia,2181000.0048879683
2032-07-01,British Columbia,2181000.0048879683
2032-08-01,British Columbia,2181000.0048879683
2032-09-01,British Columbia,2181000.0048879683
2032-10-01,British Columbia,2181000.0048879683
2032-11-01,British Columbia,2181000.0048879683
2032-12-01,British Columbia,2181000.0048879683
2033-01-01,British Columbia,2181000.0048879683
2033-02-01,British Columbia,2181000.0048879683
2033-03-01,British Columbia,2181000.0048879683
2033-04-01,British Columbia,2181000.0048879683
2033-05-01,British Columbia,2181000.0048879683
2033-06-01,British Columbia,2181000.0048879683
2033-07-01,British Columbia,2181000.0048879683
2033-08-01,British Columbia,2181000.0048879683
2033-09-01,British Columbia,2181000.0048879683
2033-10-01,British Columbia,2181000.0048879683
2033-11-01,British Columbia,2181000.0048879683
2033-12-01,British Columbia,2181000.0048879683
2034-01-01,British Columbia,2181000.0048879683
2034-02-01,British Columbia,2181000.0048879683
2034-03-01,British Columbia,2181000.0048879683
2034-04-01,British Columbia,2181000.0048879683
2034-05-01,British Columbia,2181000.0048879683
2034-06-01,British Columbia,2181000.0048879683
2034-07-01,British Columbia,2181000.0048879683
2034-08-01,British Columbia,2181000.0048879683
2034-09-01,British Columbia,2181000.0048879683
2034-10-01,British Columbia,2181000.0048879683
2024-11-01,Manitoba,562999.7533543282
2024-12-01,Manitoba,562999.9838073845
2025-01-01,Manitoba,562999.9425635948
2025-02-01,Manitoba,562999.7904532687
2025-03-01,Manitoba,562999.9923462332
2025-04-01,Manitoba,562999.9014536054
2025-05-01,Manitoba,562999.828165907
2025-06-01,Manitoba,562999.9862367637
2025-07-01,Manitoba,562999.8758606189
2025-08-01,Manitoba,562999.8614245146
2025-09-01,Manitoba,562999.9717218834
2025-10-01,Manitoba,562999.8632858335
2025-11-01,Manitoba,562999.887621461
2025-12-01,Manitoba,562999.9537964812
2026-01-01,Manitoba,562999.8604912688
2026-02-01,Manitoba,562999.9060270027
2026-03-01,Manitoba,562999.9360316177
2026-04-01,Manitoba,562999.864190713
2026-05-01,Manitoba,562999.9171830895
2026-06-01,Manitoba,562999.9206469287
2026-07-01,Manitoba,562999.8714893595
2026-08-01,Manitoba,562999.9223599029
2026-09-01,Manitoba,562999.9087294512
2026-10-01,Manitoba,562999.8801093823
2026-11-01,Manitoba,562999.9231214826
2026-12-01,Manitoba,562999.9005162283
2027-01-01,Manitoba,562999.8884522854
2027-02-01,Manitoba,562999.9210155322
2027-03-01,Manitoba,562999.8956806599
2027-04-01,Manitoba,562999.8955508382
2027-05-01,Manitoba,562999.9173809146
2027-06-01,Manitoba,562999.8935844642
2027-07-01,Manitoba,562999.9009579369
2027-08-01,Manitoba,562999.9132536859
2027-09-01,Manitoba,562999.8934757286
2027-10-01,Manitoba,562999.9046101323
2027-11-01,Manitoba,562999.9093470038
2027-12-01,Manitoba,562999.8946277383
2028-01-01,Manitoba,562999.9066928006
2028-02-01,Manitoba,562999.9060799568
2028-03-01,Manitoba,562999.8964228365
2028-04-01,Manitoba,562999.9075236232
2028-05-01,Manitoba,562999.9036333761
2028-06-01,Manitoba,562999.8983910265
2028-07-01,Manitoba,562999.9074625191
2028-08-01,Manitoba,562999.9020154267
2028-09-01,Manitoba,562999.9002152593
2028-10-01,Manitoba,562999.9068497238
2028-11-01,Manitoba,562999.9011249081
2028-12-01,Manitoba,562999.9017151105
2029-01-01,Manitoba,562999.9059694647
2029-02-01,Manitoba,562999.9008049932
2029-03-01,Manitoba,562999.9028190165
2029-04-01,Manitoba,562999.9050343665
2029-05-01,Manitoba,562999.9008840849
2029-06-01,Manitoba,562999.9035328892
2029-07-01,Manitoba,562999.9041848513
2029-08-01,Manitoba,562999.9012033367
2029-09-01,Manitoba,562999.9039104818
2029-10-01,Manitoba,562999.9034980279
