REF_DATE,GEO,DGUID,Place of death,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1991,"Quebec, place of residence",2016A000224,"Total, place of death",Number of deaths,Number,223,units,0,v21227394,6.1.1,49121,,,,0
1991,"Quebec, place of residence",2016A000224,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227395,6.1.2,100,,,,1
1991,"Quebec, place of residence",2016A000224,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227396,6.2.1,42143,,,,0
1991,"Quebec, place of residence",2016A000224,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227397,6.2.2,85.8,,,,1
1991,"Quebec, place of residence",2016A000224,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227398,6.3.1,6782,,,,0
1991,"Quebec, place of residence",2016A000224,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227399,6.3.2,13.8,,,,1
1991,"Quebec, place of residence",2016A000224,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227400,6.4.1,196,,,,0
1991,"Quebec, place of residence",2016A000224,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227401,6.4.2,0.4,,,,1
1991,"Ontario, place of residence",2016A000235,"Total, place of death",Number of deaths,Number,223,units,0,v21227402,7.1.1,72917,,,,0
1991,"Ontario, place of residence",2016A000235,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227403,7.1.2,100,,,,1
1991,"Ontario, place of residence",2016A000235,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227404,7.2.1,54308,,,,0
1991,"Ontario, place of residence",2016A000235,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227405,7.2.2,74.5,,,,1
1991,"Ontario, place of residence",2016A000235,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227406,7.3.1,17909,,,,0
1991,"Ontario, place of residence",2016A000235,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227407,7.3.2,24.6,,,,1
1991,"Ontario, place of residence",2016A000235,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227408,7.4.1,700,,,,0
1991,"Ontario, place of residence",2016A000235,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227409,7.4.2,1,,,,1
1991,"Manitoba, place of residence",2016A000246,"Total, place of death",Number of deaths,Number,223,units,0,v21227410,8.1.1,8943,,,,0
1991,"Manitoba, place of residence",2016A000246,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227411,8.1.2,100,,,,1
1991,"Manitoba, place of residence",2016A000246,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227412,8.2.1,6419,,,,0
1991,"Manitoba, place of residence",2016A000246,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227413,8.2.2,71.8,,,,1
1991,"Manitoba, place of residence",2016A000246,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227414,8.3.1,2522,,,,0
1991,"Manitoba, place of residence",2016A000246,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227415,8.3.2,28.2,,,,1
1991,"Manitoba, place of residence",2016A000246,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227416,8.4.1,2,,,,0
1991,"Manitoba, place of residence",2016A000246,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227417,8.4.2,0,,,,1
1991,"Saskatchewan, place of residence",2016A000247,"Total, place of death",Number of deaths,Number,223,units,0,v21227418,9.1.1,8098,,,,0
1991,"Saskatchewan, place of residence",2016A000247,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227419,9.1.2,100,,,,1
1991,"Saskatchewan, place of residence",2016A000247,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227420,9.2.1,5648,,,,0
1991,"Saskatchewan, place of residence",2016A000247,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227421,9.2.2,69.7,,,,1
1991,"Saskatchewan, place of residence",2016A000247,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227422,9.3.1,2449,,,,0
1991,"Saskatchewan, place of residence",2016A000247,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227423,9.3.2,30.2,,,,1
1991,"Saskatchewan, place of residence",2016A000247,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227424,9.4.1,1,,,,0
1991,"Saskatchewan, place of residence",2016A000247,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227425,9.4.2,0,,,,1
1991,"Alberta, place of residence",2016A000248,"Total, place of death",Number of deaths,Number,223,units,0,v21227426,10.1.1,14451,,,,0
1991,"Alberta, place of residence",2016A000248,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227427,10.1.2,100,,,,1
1991,"Alberta, place of residence",2016A000248,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227428,10.2.1,9930,,,,0
1991,"Alberta, place of residence",2016A000248,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227429,10.2.2,68.7,,,,1
1991,"Alberta, place of residence",2016A000248,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227430,10.3.1,4485,,,,0
1991,"Alberta, place of residence",2016A000248,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227431,10.3.2,31,,,,1
1991,"Alberta, place of residence",2016A000248,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227432,10.4.1,36,,,,0
1991,"Alberta, place of residence",2016A000248,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227433,10.4.2,0.2,,,,1
1991,"British Columbia, place of residence",2016A000259,"Total, place of death",Number of deaths,Number,223,units,0,v21227434,11.1.1,23977,,,,0
1991,"British Columbia, place of residence",2016A000259,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227435,11.1.2,100,,,,1
1991,"British Columbia, place of residence",2016A000259,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227436,11.2.1,18098,,,,0
1991,"British Columbia, place of residence",2016A000259,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227437,11.2.2,75.5,,,,1
1991,"British Columbia, place of residence",2016A000259,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227438,11.3.1,5876,,,,0
1991,"British Columbia, place of residence",2016A000259,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227439,11.3.2,24.5,,,,1
1991,"British Columbia, place of residence",2016A000259,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227440,11.4.1,3,,,,0
1991,"British Columbia, place of residence",2016A000259,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227441,11.4.2,0,,,,1
1991,"Yukon, place of residence",2016A000260,"Total, place of death",Number of deaths,Number,223,units,0,v21227442,12.1.1,114,,,,0
1991,"Yukon, place of residence",2016A000260,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227443,12.1.2,100,,,,1
1991,"Yukon, place of residence",2016A000260,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227444,12.2.1,74,,,,0
1991,"Yukon, place of residence",2016A000260,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227445,12.2.2,64.9,,,,1
1991,"Yukon, place of residence",2016A000260,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227446,12.3.1,39,,,,0
1991,"Yukon, place of residence",2016A000260,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227447,12.3.2,34.2,,,,1
1991,"Yukon, place of residence",2016A000260,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227448,12.4.1,1,,,,0
1991,"Yukon, place of residence",2016A000260,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227449,12.4.2,0.9,,,,1
1991,"Northwest Territories including Nunavut, place of residence",,"Total, place of death",Number of deaths,Number,223,units,0,v21227450,13.1.1,237,,,t,0
1991,"Northwest Territories including Nunavut, place of residence",,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227451,13.1.2,100,,,t,1
1991,"Northwest Territories including Nunavut, place of residence",,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227452,13.2.1,142,,,t,0
1991,"Northwest Territories including Nunavut, place of residence",,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227453,13.2.2,59.9,,,t,1
1991,"Northwest Territories including Nunavut, place of residence",,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227454,13.3.1,86,,,t,0
1991,"Northwest Territories including Nunavut, place of residence",,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227455,13.3.2,36.3,,,t,1
1991,"Northwest Territories including Nunavut, place of residence",,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227456,13.4.1,9,,,t,0
1991,"Northwest Territories including Nunavut, place of residence",,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227457,13.4.2,3.8,,,t,1
1991,Unknown province or territory of residence,,"Total, place of death",Number of deaths,Number,223,units,0,v21227474,16.1.1,1,,,,0
1991,Unknown province or territory of residence,,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227475,16.1.2,100,,,,1
1991,Unknown province or territory of residence,,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227476,16.2.1,0,,,,0
1991,Unknown province or territory of residence,,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227477,16.2.2,0,,,,1
1991,Unknown province or territory of residence,,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227478,16.3.1,1,,,,0
1991,Unknown province or territory of residence,,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227479,16.3.2,100,,,,1
1991,Unknown province or territory of residence,,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227480,16.4.1,0,,,,0
1991,Unknown province or territory of residence,,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227481,16.4.2,0,,,,1
1992,"Canada, place of residence",2016A000011124,"Total, place of death",Number of deaths,Number,223,units,0,v21227354,1.1.1,196535,,,,0
1992,"Canada, place of residence",2016A000011124,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227355,1.1.2,100,,,,1
1992,"Canada, place of residence",2016A000011124,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227356,1.2.1,151764,,,,0
1992,"Canada, place of residence",2016A000011124,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227357,1.2.2,77.2,,,,1
1992,"Canada, place of residence",2016A000011124,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227358,1.3.1,44193,,,,0
1992,"Canada, place of residence",2016A000011124,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227359,1.3.2,22.5,,,,1
1992,"Canada, place of residence",2016A000011124,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227360,1.4.1,578,,,,0
1992,"Canada, place of residence",2016A000011124,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227361,1.4.2,0.3,,,,1
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Total, place of death",Number of deaths,Number,223,units,0,v21227362,2.1.1,3798,,,,0
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227363,2.1.2,100,,,,1
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227364,2.2.1,2524,,,,0
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227365,2.2.2,66.5,,,,1
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227366,2.3.1,1268,,,,0
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227367,2.3.2,33.4,,,,1
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227368,2.4.1,6,,,,0
1992,"Newfoundland and Labrador, place of residence",2016A000210,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227369,2.4.2,0.2,,,,1
1992,"Prince Edward Island, place of residence",2016A000211,"Total, place of death",Number of deaths,Number,223,units,0,v21227370,3.1.1,1114,,,,0
1992,"Prince Edward Island, place of residence",2016A000211,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227371,3.1.2,100,,,,1
1992,"Prince Edward Island, place of residence",2016A000211,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227372,3.2.1,762,,,,0
1992,"Prince Edward Island, place of residence",2016A000211,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227373,3.2.2,68.4,,,,1
1992,"Prince Edward Island, place of residence",2016A000211,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227374,3.3.1,349,,,,0
1992,"Prince Edward Island, place of residence",2016A000211,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227375,3.3.2,31.3,,,,1
1992,"Prince Edward Island, place of residence",2016A000211,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227376,3.4.1,3,,,,0
1992,"Prince Edward Island, place of residence",2016A000211,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227377,3.4.2,0.3,,,,1
1992,"Nova Scotia, place of residence",2016A000212,"Total, place of death",Number of deaths,Number,223,units,0,v21227378,4.1.1,7544,,,,0
1992,"Nova Scotia, place of residence",2016A000212,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227379,4.1.2,100,,,,1
1992,"Nova Scotia, place of residence",2016A000212,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227380,4.2.1,5299,,,,0
1992,"Nova Scotia, place of residence",2016A000212,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227381,4.2.2,70.2,,,,1
1992,"Nova Scotia, place of residence",2016A000212,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227382,4.3.1,2225,,,,0
1992,"Nova Scotia, place of residence",2016A000212,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227383,4.3.2,29.5,,,,1
1992,"Nova Scotia, place of residence",2016A000212,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227384,4.4.1,20,,,,0
1992,"Nova Scotia, place of residence",2016A000212,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227385,4.4.2,0.3,,,,1
1992,"New Brunswick, place of residence",2016A000213,"Total, place of death",Number of deaths,Number,223,units,0,v21227386,5.1.1,5609,,,,0
1992,"New Brunswick, place of residence",2016A000213,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227387,5.1.2,100,,,,1
1992,"New Brunswick, place of residence",2016A000213,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227388,5.2.1,5597,,,,0
1992,"New Brunswick, place of residence",2016A000213,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227389,5.2.2,99.8,,,,1
1992,"New Brunswick, place of residence",2016A000213,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227390,5.3.1,12,,,,0
1992,"New Brunswick, place of residence",2016A000213,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227391,5.3.2,0.2,,,,1
1992,"New Brunswick, place of residence",2016A000213,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227392,5.4.1,0,,,,0
1992,"New Brunswick, place of residence",2016A000213,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227393,5.4.2,0,,,,1
1992,"Quebec, place of residence",2016A000224,"Total, place of death",Number of deaths,Number,223,units,0,v21227394,6.1.1,48824,,,,0
1992,"Quebec, place of residence",2016A000224,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227395,6.1.2,100,,,,1
1992,"Quebec, place of residence",2016A000224,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227396,6.2.1,42172,,,,0
1992,"Quebec, place of residence",2016A000224,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227397,6.2.2,86.4,,,,1
1992,"Quebec, place of residence",2016A000224,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227398,6.3.1,6387,,,,0
1992,"Quebec, place of residence",2016A000224,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227399,6.3.2,13.1,,,,1
1992,"Quebec, place of residence",2016A000224,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227400,6.4.1,265,,,,0
1992,"Quebec, place of residence",2016A000224,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227401,6.4.2,0.5,,,,1
1992,"Ontario, place of residence",2016A000235,"Total, place of death",Number of deaths,Number,223,units,0,v21227402,7.1.1,73206,,,,0
1992,"Ontario, place of residence",2016A000235,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227403,7.1.2,100,,,,1
1992,"Ontario, place of residence",2016A000235,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227404,7.2.1,55003,,,,0
1992,"Ontario, place of residence",2016A000235,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227405,7.2.2,75.1,,,,1
1992,"Ontario, place of residence",2016A000235,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227406,7.3.1,17930,,,,0
1992,"Ontario, place of residence",2016A000235,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227407,7.3.2,24.5,,,,1
1992,"Ontario, place of residence",2016A000235,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227408,7.4.1,273,,,,0
1992,"Ontario, place of residence",2016A000235,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227409,7.4.2,0.4,,,,1
1992,"Manitoba, place of residence",2016A000246,"Total, place of death",Number of deaths,Number,223,units,0,v21227410,8.1.1,8980,,,,0
1992,"Manitoba, place of residence",2016A000246,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227411,8.1.2,100,,,,1
1992,"Manitoba, place of residence",2016A000246,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227412,8.2.1,6633,,,,0
1992,"Manitoba, place of residence",2016A000246,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227413,8.2.2,73.9,,,,1
1992,"Manitoba, place of residence",2016A000246,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227414,8.3.1,2342,,,,0
1992,"Manitoba, place of residence",2016A000246,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227415,8.3.2,26.1,,,,1
1992,"Manitoba, place of residence",2016A000246,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227416,8.4.1,5,,,,0
1992,"Manitoba, place of residence",2016A000246,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227417,8.4.2,0.1,,,,1
1992,"Saskatchewan, place of residence",2016A000247,"Total, place of death",Number of deaths,Number,223,units,0,v21227418,9.1.1,7793,,,,0
1992,"Saskatchewan, place of residence",2016A000247,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227419,9.1.2,100,,,,1
1992,"Saskatchewan, place of residence",2016A000247,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227420,9.2.1,5262,,,,0
1992,"Saskatchewan, place of residence",2016A000247,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227421,9.2.2,67.5,,,,1
1992,"Saskatchewan, place of residence",2016A000247,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227422,9.3.1,2531,,,,0
1992,"Saskatchewan, place of residence",2016A000247,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227423,9.3.2,32.5,,,,1
1992,"Saskatchewan, place of residence",2016A000247,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227424,9.4.1,0,,,,0
1992,"Saskatchewan, place of residence",2016A000247,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227425,9.4.2,0,,,,1
1992,"Alberta, place of residence",2016A000248,"Total, place of death",Number of deaths,Number,223,units,0,v21227426,10.1.1,14679,,,,0
1992,"Alberta, place of residence",2016A000248,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227427,10.1.2,100,,,,1
1992,"Alberta, place of residence",2016A000248,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227428,10.2.1,10117,,,,0
1992,"Alberta, place of residence",2016A000248,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227429,10.2.2,68.9,,,,1
1992,"Alberta, place of residence",2016A000248,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227430,10.3.1,4560,,,,0
1992,"Alberta, place of residence",2016A000248,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227431,10.3.2,31.1,,,,1
1992,"Alberta, place of residence",2016A000248,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227432,10.4.1,2,,,,0
1992,"Alberta, place of residence",2016A000248,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227433,10.4.2,0,,,,1
1992,"British Columbia, place of residence",2016A000259,"Total, place of death",Number of deaths,Number,223,units,0,v21227434,11.1.1,24615,,,,0
1992,"British Columbia, place of residence",2016A000259,"Total, place of death",Percentage of deaths,Percentage,242,units,0,v21227435,11.1.2,100,,,,1
1992,"British Columbia, place of residence",2016A000259,"Place of death, hospital",Number of deaths,Number,223,units,0,v21227436,11.2.1,18199,,,,0
1992,"British Columbia, place of residence",2016A000259,"Place of death, hospital",Percentage of deaths,Percentage,242,units,0,v21227437,11.2.2,73.9,,,,1
1992,"British Columbia, place of residence",2016A000259,"Place of death, non-hospital",Number of deaths,Number,223,units,0,v21227438,11.3.1,6414,,,,0
1992,"British Columbia, place of residence",2016A000259,"Place of death, non-hospital",Percentage of deaths,Percentage,242,units,0,v21227439,11.3.2,26.1,,,,1
1992,"British Columbia, place of residence",2016A000259,"Place of death, unknown",Number of deaths,Number,223,units,0,v21227440,11.4.1,2,,,,0
1992,"British Columbia, place of residence",2016A000259,"Place of death, unknown",Percentage of deaths,Percentage,242,units,0,v21227441,11.4.2,0,,,,1
1992,"Yukon, place of residence",2016A000260,"Total, place of death",Number of deaths,Number,223,units,0,v21227442,12.1.1,117,,,,0
