Province,Year,Foreign_Workers,International_Students,Permanent_Residents
Greater Sudbury,2016.0,5.0,,
Guelph,2016.0,25.0,,
Hamilton,2016.0,45.0,,
Hawkesbury (Ontario part),2016.0,0.0,,
Ingersoll,2016.0,0.0,,
Kawartha Lakes,2016.0,0.0,25.0,
Kenora,2016.0,0.0,,
Kingston,2016.0,10.0,,
Kitchener - Cambridge - Waterloo,2016.0,95.0,,
London,2016.0,55.0,,
Manitoba,2016.0,,,
Midland,2016.0,0.0,10.0,
New Brunswick,2016.0,,,
Newfoundland and Labrador,2016.0,,,
Norfolk,2016.0,,20.0,
North Bay,2016.0,,305.0,
Northwest Territories,2016.0,,,
Nova Scotia,2016.0,,,
Nunavut,2016.0,,,
Ontario,2016.0,,,
Orillia,2016.0,0.0,25.0,
Oshawa,2016.0,5.0,,
Other - Ontario,2016.0,70.0,,
Ottawa - Gatineau (Ontario part),2016.0,130.0,,
Owen Sound,2016.0,,10.0,
Pembroke,2016.0,0.0,5.0,
Petawawa,2016.0,0.0,0.0,
Peterborough,2016.0,10.0,,
Port Hope,2016.0,0.0,130.0,
Prince Edward Island,2016.0,,,
Quebec,2016.0,,,
Sarnia,2016.0,,915.0,
Saskatchewan,2016.0,,,
Sault Ste. Marie,2016.0,0.0,525.0,
St. Catharines - Niagara,2016.0,25.0,,
Stratford,2016.0,,50.0,
Thunder Bay,2016.0,5.0,,
Tillsonburg,2016.0,0.0,,
Timmins,2016.0,,65.0,
Wasaga Beach,2016.0,0.0,,
Windsor,2016.0,50.0,,
Woodstock,2016.0,0.0,15.0,
Yukon,2016.0,,,
Alberta,2017.0,,,
Barrie,2017.0,10.0,,
Belleville,2017.0,,800.0,
Belleville - Quinte West,2017.0,0.0,,
Brantford,2017.0,,280.0,
British Columbia,2017.0,,,
Brockville,2017.0,,215.0,
Centre Wellington,2017.0,0.0,,
Chatham-Kent,2017.0,0.0,90.0,
Cobourg,2017.0,0.0,15.0,
Collingwood,2017.0,0.0,35.0,
Cornwall,2017.0,0.0,380.0,
Elliot Lake,2017.0,0.0,,
Essa,2017.0,0.0,,
Guelph,2017.0,10.0,,
Hamilton,2017.0,25.0,,
Hawkesbury (Ontario part),2017.0,0.0,,
Ingersoll,2017.0,0.0,0.0,
Kawartha Lakes,2017.0,,25.0,
Kenora,2017.0,0.0,,
Kingston,2017.0,10.0,,
Kitchener - Cambridge - Waterloo,2017.0,40.0,,
Leamington,2017.0,,10.0,
London,2017.0,25.0,,
Manitoba,2017.0,,,
Midland,2017.0,0.0,10.0,
New Brunswick,2017.0,,,
Newfoundland and Labrador,2017.0,,,
Norfolk,2017.0,0.0,25.0,
North Bay,2017.0,,755.0,
Northwest Territories,2017.0,,,
Nova Scotia,2017.0,,,
Nunavut,2017.0,,,
Ontario,2017.0,,,
Orillia,2017.0,0.0,25.0,
Oshawa,2017.0,5.0,,
Other - Ontario,2017.0,25.0,,
Ottawa - Gatineau (Ontario part),2017.0,60.0,,
Owen Sound,2017.0,0.0,30.0,
Pembroke,2017.0,0.0,5.0,
Petawawa,2017.0,0.0,0.0,
Peterborough,2017.0,0.0,,
Port Hope,2017.0,0.0,135.0,
Prince Edward Island,2017.0,,,
Quebec,2017.0,,,
Sarnia,2017.0,,960.0,
Saskatchewan,2017.0,,,
Sault Ste. Marie,2017.0,0.0,580.0,
St. Catharines - Niagara,2017.0,10.0,,
Stratford,2017.0,0.0,70.0,
Thunder Bay,2017.0,0.0,,
Tillsonburg,2017.0,0.0,,
Timmins,2017.0,0.0,120.0,
Toronto,2017.0,545.0,,
Wasaga Beach,2017.0,0.0,,
Windsor,2017.0,20.0,,
Woodstock,2017.0,0.0,10.0,
Yukon,2017.0,,,
Alberta,2018.0,,,
Barrie,2018.0,15.0,,
Belleville - Quinte West,2018.0,0.0,,
Brantford,2018.0,,305.0,
British Columbia,2018.0,,,
Brockville,2018.0,,305.0,
Centre Wellington,2018.0,0.0,,
Chatham-Kent,2018.0,0.0,100.0,
Cobourg,2018.0,0.0,20.0,
Collingwood,2018.0,,25.0,
Cornwall,2018.0,,465.0,
Elliot Lake,2018.0,0.0,,
Essa,2018.0,0.0,,
Greater Sudbury,2018.0,5.0,,
Guelph,2018.0,20.0,,
Hamilton,2018.0,45.0,,
Hawkesbury (Ontario part),2018.0,0.0,,
Ingersoll,2018.0,0.0,,
Kawartha Lakes,2018.0,,60.0,
Kenora,2018.0,0.0,,
Kingston,2018.0,15.0,,
Kitchener - Cambridge - Waterloo,2018.0,100.0,,
Leamington,2018.0,,15.0,
London,2018.0,60.0,,
Manitoba,2018.0,,,
Midland,2018.0,,5.0,
New Brunswick,2018.0,,,
Newfoundland and Labrador,2018.0,,,
Norfolk,2018.0,,45.0,
Northwest Territories,2018.0,,,
Nova Scotia,2018.0,,,
Nunavut,2018.0,,,
Ontario,2018.0,,,
Orillia,2018.0,0.0,50.0,
Oshawa,2018.0,15.0,,
Other - Ontario,2018.0,65.0,,
Ottawa - Gatineau (Ontario part),2018.0,125.0,,
Owen Sound,2018.0,,40.0,
Pembroke,2018.0,,10.0,
Petawawa,2018.0,,0.0,
Peterborough,2018.0,5.0,,
Port Hope,2018.0,0.0,145.0,
Prince Edward Island,2018.0,,,
Quebec,2018.0,,,
Sarnia,2018.0,5.0,,
Saskatchewan,2018.0,,,
Sault Ste. Marie,2018.0,0.0,745.0,
St. Catharines - Niagara,2018.0,30.0,,
Stratford,2018.0,0.0,75.0,
Temiskaming Shores,2018.0,,10.0,
Thunder Bay,2018.0,5.0,,
Tillsonburg,2018.0,0.0,,
Timmins,2018.0,,210.0,
Wasaga Beach,2018.0,0.0,,
Windsor,2018.0,55.0,,
Woodstock,2018.0,,35.0,
Yukon,2018.0,,,
Alberta,2019.0,,,
Barrie,2019.0,35.0,,
Brantford,2019.0,10.0,,
British Columbia,2019.0,,,
Brockville,2019.0,0.0,,
Centre Wellington,2019.0,0.0,,
Collingwood,2019.0,0.0,,
Essa,2019.0,0.0,,
Greater Sudbury,2019.0,5.0,,
Guelph,2019.0,30.0,,
Hamilton,2019.0,85.0,,
Hawkesbury (Ontario part),2019.0,0.0,,
Ingersoll,2019.0,0.0,,
Kawartha Lakes,2019.0,0.0,,
Kenora,2019.0,5.0,,
Kingston,2019.0,10.0,,
Kitchener - Cambridge - Waterloo,2019.0,110.0,,
London,2019.0,85.0,,
Manitoba,2019.0,,,
Midland,2019.0,0.0,,
New Brunswick,2019.0,,,
Newfoundland and Labrador,2019.0,,,
Norfolk,2019.0,0.0,,
Northwest Territories,2019.0,,,
Nova Scotia,2019.0,,,
Nunavut,2019.0,,,
Ontario,2019.0,,,
Oshawa,2019.0,15.0,,
Other - Ontario,2019.0,125.0,,
Ottawa - Gatineau (Ontario part),2019.0,160.0,,
Pembroke,2019.0,0.0,,
Petawawa,2019.0,0.0,,
Peterborough,2019.0,10.0,,
Port Hope,2019.0,0.0,,
Prince Edward Island,2019.0,,,
Quebec,2019.0,,,
Sarnia,2019.0,5.0,,
Saskatchewan,2019.0,,,
Sault Ste. Marie,2019.0,0.0,,
St. Catharines - Niagara,2019.0,65.0,,
Thunder Bay,2019.0,5.0,,
Timmins,2019.0,0.0,,
Wasaga Beach,2019.0,0.0,,
Windsor,2019.0,50.0,,
Yukon,2019.0,,,
Alberta,2020.0,,,
Barrie,2020.0,70.0,,
Belleville - Quinte West,2020.0,10.0,,
Brantford,2020.0,20.0,,
British Columbia,2020.0,,,
Cobourg,2020.0,0.0,,
Cornwall,2020.0,5.0,,
Elliot Lake,2020.0,0.0,,
Greater Sudbury,2020.0,15.0,,
Guelph,2020.0,25.0,,
Hamilton,2020.0,120.0,,
Ingersoll,2020.0,0.0,,
Kingston,2020.0,25.0,,
Kitchener - Cambridge - Waterloo,2020.0,195.0,,
London,2020.0,160.0,,
Manitoba,2020.0,,,
New Brunswick,2020.0,,,
Newfoundland and Labrador,2020.0,,,
Northwest Territories,2020.0,,,
Nova Scotia,2020.0,,,
Nunavut,2020.0,,,
Ontario,2020.0,,,
Orillia,2020.0,5.0,,
Oshawa,2020.0,35.0,,
Other - Ontario,2020.0,130.0,,
Ottawa - Gatineau (Ontario part),2020.0,240.0,,
Petawawa,2020.0,0.0,,
Peterborough,2020.0,15.0,,
Prince Edward Island,2020.0,,,
Quebec,2020.0,,,
Sarnia,2020.0,10.0,,
Saskatchewan,2020.0,,,
Sault Ste. Marie,2020.0,0.0,,
St. Catharines - Niagara,2020.0,65.0,,
Thunder Bay,2020.0,25.0,,
Tillsonburg,2020.0,0.0,,
Windsor,2020.0,105.0,,
Woodstock,2020.0,10.0,,
Yukon,2020.0,,,
Alberta,2021.0,,,
Barrie,2021.0,135.0,,
Belleville - Quinte West,2021.0,15.0,,
Brantford,2021.0,110.0,,
British Columbia,2021.0,,,
Brockville,2021.0,5.0,,
Cobourg,2021.0,0.0,,
Cornwall,2021.0,15.0,,
Elliot Lake,2021.0,0.0,,
Greater Sudbury,2021.0,60.0,,
Guelph,2021.0,120.0,,
Hamilton,2021.0,165.0,,
Hawkesbury (Ontario part),2021.0,0.0,,
Kenora,2021.0,0.0,,
Kingston,2021.0,50.0,,
Kitchener - Cambridge - Waterloo,2021.0,825.0,,
London,2021.0,350.0,,
Manitoba,2021.0,,,
New Brunswick,2021.0,,,
Newfoundland and Labrador,2021.0,,,
Norfolk,2021.0,5.0,,
North Bay,2021.0,10.0,,
Northwest Territories,2021.0,,,
Nova Scotia,2021.0,,,
Nunavut,2021.0,,,
Ontario,2021.0,,,
Oshawa,2021.0,60.0,,
Other - Ontario,2021.0,220.0,,
Ottawa - Gatineau (Ontario part),2021.0,365.0,,
Petawawa,2021.0,0.0,,
Peterborough,2021.0,20.0,,
Port Hope,2021.0,0.0,,
Prince Edward Island,2021.0,,,
Quebec,2021.0,,,
Sarnia,2021.0,60.0,,
Saskatchewan,2021.0,,,
Sault Ste. Marie,2021.0,5.0,,
St. Catharines - Niagara,2021.0,110.0,,
Thunder Bay,2021.0,95.0,,
Tillsonburg,2021.0,0.0,,
Timmins,2021.0,15.0,,
Windsor,2021.0,220.0,,
Woodstock,2021.0,15.0,,
Yukon,2021.0,,,
Alberta,2022.0,,,
Barrie,2022.0,135.0,,
Belleville - Quinte West,2022.0,10.0,,
Brantford,2022.0,30.0,,
British Columbia,2022.0,,,
Chatham-Kent,2022.0,5.0,,
Cobourg,2022.0,0.0,,
Cornwall,2022.0,5.0,,
Elliot Lake,2022.0,0.0,,
Greater Sudbury,2022.0,30.0,,
Guelph,2022.0,35.0,,
Hamilton,2022.0,140.0,,
Ingersoll,2022.0,0.0,,
Kingston,2022.0,25.0,,
Kitchener - Cambridge - Waterloo,2022.0,320.0,,
London,2022.0,210.0,,
Manitoba,2022.0,,,
New Brunswick,2022.0,,,
Newfoundland and Labrador,2022.0,,,
Norfolk,2022.0,10.0,,
Northwest Territories,2022.0,,,
Nova Scotia,2022.0,,,
Nunavut,2022.0,,,
Ontario,2022.0,,,
Oshawa,2022.0,55.0,,
Other - Ontario,2022.0,185.0,,
Ottawa - Gatineau (Ontario part),2022.0,365.0,,
Peterborough,2022.0,25.0,,
Prince Edward Island,2022.0,,,
Quebec,2022.0,,,
Sarnia,2022.0,40.0,,
Saskatchewan,2022.0,,,
St. Catharines - Niagara,2022.0,85.0,,
Thunder Bay,2022.0,45.0,,
Timmins,2022.0,20.0,,
Windsor,2022.0,125.0,,
Woodstock,2022.0,15.0,,
Yukon,2022.0,,,
Alberta,2023.0,,,
Barrie,2023.0,115.0,,
Belleville - Quinte West,2023.0,10.0,,
Brantford,2023.0,65.0,,
British Columbia,2023.0,,,
Centre Wellington,2023.0,5.0,,
Collingwood,2023.0,0.0,,
Cornwall,2023.0,20.0,,
Elliot Lake,2023.0,0.0,,
Greater Sudbury,2023.0,30.0,,
Guelph,2023.0,105.0,,
Hamilton,2023.0,215.0,,
Kenora,2023.0,0.0,,
Kingston,2023.0,60.0,,
London,2023.0,510.0,,
Manitoba,2023.0,,,
New Brunswick,2023.0,,,
Newfoundland and Labrador,2023.0,,,
Norfolk,2023.0,5.0,,
North Bay,2023.0,20.0,,
Northwest Territories,2023.0,,,
Nova Scotia,2023.0,,,
Nunavut,2023.0,,,
Ontario,2023.0,,,
Orillia,2023.0,10.0,,
Oshawa,2023.0,95.0,,
Other - Ontario,2023.0,370.0,,
Ottawa - Gatineau (Ontario part),2023.0,410.0,,
Owen Sound,2023.0,5.0,,
Petawawa,2023.0,0.0,,
Peterborough,2023.0,45.0,,
Prince Edward Island,2023.0,,,
Quebec,2023.0,,,
Sarnia,2023.0,45.0,,
Saskatchewan,2023.0,,,
Sault Ste. Marie,2023.0,5.0,,
St. Catharines - Niagara,2023.0,150.0,,
Thunder Bay,2023.0,90.0,,
Timmins,2023.0,10.0,,
Windsor,2023.0,285.0,,
Woodstock,2023.0,25.0,,
Yukon,2023.0,,,
Alberta,2024.0,,,
Barrie,2024.0,210.0,,
Belleville - Quinte West,2024.0,20.0,,
Brantford,2024.0,175.0,,
British Columbia,2024.0,,,
Cobourg,2024.0,0.0,,
Collingwood,2024.0,10.0,,
Cornwall,2024.0,10.0,,
Essa,2024.0,0.0,,
Greater Sudbury,2024.0,80.0,,
Guelph,2024.0,195.0,,
Hamilton,2024.0,230.0,,
Hawkesbury (Ontario part),2024.0,0.0,,
Kingston,2024.0,65.0,,
London,2024.0,580.0,,
Manitoba,2024.0,,,
New Brunswick,2024.0,,,
Newfoundland and Labrador,2024.0,,,
North Bay,2024.0,35.0,,
Northwest Territories,2024.0,,,
Nova Scotia,2024.0,,,
Nunavut,2024.0,,,
Ontario,2024.0,,,
Orillia,2024.0,5.0,,
Oshawa,2024.0,105.0,,
Other - Ontario,2024.0,435.0,,
Ottawa - Gatineau (Ontario part),2024.0,500.0,,
Owen Sound,2024.0,15.0,,
Petawawa,2024.0,0.0,,
Peterborough,2024.0,50.0,,
Prince Edward Island,2024.0,,,
Quebec,2024.0,,,
Sarnia,2024.0,15.0,,
Saskatchewan,2024.0,,,
Sault Ste. Marie,2024.0,15.0,,
St. Catharines - Niagara,2024.0,185.0,,
Stratford,2024.0,5.0,,
Thunder Bay,2024.0,60.0,,
Timmins,2024.0,75.0,,
Wasaga Beach,2024.0,0.0,,
Windsor,2024.0,590.0,,
Woodstock,2024.0,20.0,,
Yukon,2024.0,,,
