"REF_DATE","GEO","DGUID","Family characteristics measured five years earlier","Statistics ","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Prince Edward Island","2016A000211","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598694","3.7.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598695","3.8.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598696","3.9.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598697","3.10.1","59","","","","0"
"2016","Prince Edward Island","2016A000211","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598698","3.11.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598699","3.12.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598700","3.13.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598701","3.14.1","64","","","","0"
"2016","Prince Edward Island","2016A000211","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598702","3.15.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598703","3.16.1","66","","","","0"
"2016","Prince Edward Island","2016A000211","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598704","3.17.1","","x","","","0"
"2016","Prince Edward Island","2016A000211","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598705","3.18.1","","x","","","0"
"2016","Nova Scotia","2016A000212","All characteristics","Participation rate","Percent","239","units","0","v1273598706","4.1.1","67","","","","0"
"2016","Nova Scotia","2016A000212","Were living with their parents","Participation rate","Percent","239","units","0","v1273598707","4.2.1","68","","","","0"
"2016","Nova Scotia","2016A000212","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598708","4.3.1","57","","","","0"
"2016","Nova Scotia","2016A000212","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598709","4.4.1","44","","","","0"
"2016","Nova Scotia","2016A000212","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598710","4.5.1","61","","","","0"
"2016","Nova Scotia","2016A000212","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598711","4.6.1","71","","","","0"
"2016","Nova Scotia","2016A000212","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598712","4.7.1","65","","","","0"
"2016","Nova Scotia","2016A000212","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598713","4.8.1","81","","","","0"
"2016","Nova Scotia","2016A000212","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598714","4.9.1","77","","","","0"
"2016","Nova Scotia","2016A000212","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598715","4.10.1","61","","","","0"
"2016","Nova Scotia","2016A000212","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598716","4.11.1","56","","","","0"
"2016","Nova Scotia","2016A000212","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598717","4.12.1","74","","","","0"
"2016","Nova Scotia","2016A000212","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598718","4.13.1","55","","","","0"
"2016","Nova Scotia","2016A000212","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598719","4.14.1","66","","","","0"
"2016","Nova Scotia","2016A000212","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598720","4.15.1","70","","","","0"
"2016","Nova Scotia","2016A000212","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598721","4.16.1","66","","","","0"
"2016","Nova Scotia","2016A000212","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598722","4.17.1","","x","","","0"
"2016","Nova Scotia","2016A000212","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598723","4.18.1","","x","","","0"
"2016","New Brunswick","2016A000213","All characteristics","Participation rate","Percent","239","units","0","v1273598724","5.1.1","68","","","","0"
"2016","New Brunswick","2016A000213","Were living with their parents","Participation rate","Percent","239","units","0","v1273598725","5.2.1","69","","","","0"
"2016","New Brunswick","2016A000213","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598726","5.3.1","55","","","","0"
"2016","New Brunswick","2016A000213","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598727","5.4.1","53","","","","0"
"2016","New Brunswick","2016A000213","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598728","5.5.1","55","","","","0"
"2016","New Brunswick","2016A000213","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598729","5.6.1","74","","","","0"
"2016","New Brunswick","2016A000213","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598730","5.7.1","68","","","","0"
"2016","New Brunswick","2016A000213","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598731","5.8.1","84","","","","0"
"2016","New Brunswick","2016A000213","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598732","5.9.1","80","","","","0"
"2016","New Brunswick","2016A000213","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598733","5.10.1","61","","","","0"
"2016","New Brunswick","2016A000213","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598734","5.11.1","63","","","","0"
"2016","New Brunswick","2016A000213","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598735","5.12.1","74","","","","0"
"2016","New Brunswick","2016A000213","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598736","5.13.1","57","","","","0"
"2016","New Brunswick","2016A000213","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598737","5.14.1","68","","","","0"
"2016","New Brunswick","2016A000213","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598738","5.15.1","71","","","","0"
"2016","New Brunswick","2016A000213","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598739","5.16.1","69","","","","0"
"2016","New Brunswick","2016A000213","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598740","5.17.1","","x","","","0"
"2016","New Brunswick","2016A000213","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598741","5.18.1","","x","","","0"
"2016","Quebec","2016A000224","All characteristics","Participation rate","Percent","239","units","0","v1273598742","6.1.1","77","","","","0"
"2016","Quebec","2016A000224","Were living with their parents","Participation rate","Percent","239","units","0","v1273598743","6.2.1","77","","","","0"
"2016","Quebec","2016A000224","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598744","6.3.1","62","","","","0"
"2016","Quebec","2016A000224","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598745","6.4.1","50","","","","0"
"2016","Quebec","2016A000224","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598746","6.5.1","69","","","","0"
"2016","Quebec","2016A000224","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598747","6.6.1","81","","","","0"
"2016","Quebec","2016A000224","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598748","6.7.1","77","","","","0"
"2016","Quebec","2016A000224","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598749","6.8.1","90","","","","0"
"2016","Quebec","2016A000224","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598750","6.9.1","85","","","","0"
"2016","Quebec","2016A000224","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598751","6.10.1","71","","","","0"
"2016","Quebec","2016A000224","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598752","6.11.1","69","","","","0"
"2016","Quebec","2016A000224","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598753","6.12.1","82","","","","0"
"2016","Quebec","2016A000224","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598754","6.13.1","77","","","","0"
"2016","Quebec","2016A000224","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598755","6.14.1","72","","","","0"
"2016","Quebec","2016A000224","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598756","6.15.1","79","","","","0"
"2016","Quebec","2016A000224","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598757","6.16.1","77","","","","0"
"2016","Quebec","2016A000224","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598758","6.17.1","80","","","","0"
"2016","Quebec","2016A000224","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598759","6.18.1","56","","","","0"
"2016","Ontario","2016A000235","All characteristics","Participation rate","Percent","239","units","0","v1273598760","7.1.1","73","","","","0"
"2016","Ontario","2016A000235","Were living with their parents","Participation rate","Percent","239","units","0","v1273598761","7.2.1","74","","","","0"
"2016","Ontario","2016A000235","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598762","7.3.1","60","","","","0"
"2016","Ontario","2016A000235","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598763","7.4.1","53","","","","0"
"2016","Ontario","2016A000235","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598764","7.5.1","63","","","","0"
"2016","Ontario","2016A000235","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598765","7.6.1","78","","","","0"
"2016","Ontario","2016A000235","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598766","7.7.1","69","","","","0"
"2016","Ontario","2016A000235","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598767","7.8.1","87","","","","0"
"2016","Ontario","2016A000235","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598768","7.9.1","81","","","","0"
"2016","Ontario","2016A000235","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598769","7.10.1","66","","","","0"
"2016","Ontario","2016A000235","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598770","7.11.1","62","","","","0"
"2016","Ontario","2016A000235","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598771","7.12.1","78","","","","0"
"2016","Ontario","2016A000235","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598772","7.13.1","58","","","","0"
"2016","Ontario","2016A000235","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598773","7.14.1","68","","","","0"
"2016","Ontario","2016A000235","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598774","7.15.1","74","","","","0"
"2016","Ontario","2016A000235","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598775","7.16.1","68","","","","0"
"2016","Ontario","2016A000235","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598776","7.17.1","80","","","","0"
"2016","Ontario","2016A000235","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598777","7.18.1","49","","","","0"
"2016","Manitoba","2016A000246","All characteristics","Participation rate","Percent","239","units","0","v1273598778","8.1.1","54","","","","0"
"2016","Manitoba","2016A000246","Were living with their parents","Participation rate","Percent","239","units","0","v1273598779","8.2.1","55","","","","0"
"2016","Manitoba","2016A000246","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598780","8.3.1","36","","","","0"
"2016","Manitoba","2016A000246","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598781","8.4.1","30","","","","0"
"2016","Manitoba","2016A000246","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598782","8.5.1","39","","","","0"
"2016","Manitoba","2016A000246","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598783","8.6.1","63","","","","0"
"2016","Manitoba","2016A000246","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598784","8.7.1","56","","","","0"
"2016","Manitoba","2016A000246","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598785","8.8.1","74","","","","0"
"2016","Manitoba","2016A000246","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598786","8.9.1","69","","","","0"
"2016","Manitoba","2016A000246","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598787","8.10.1","44","","","","0"
"2016","Manitoba","2016A000246","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598788","8.11.1","39","","","","0"
"2016","Manitoba","2016A000246","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598789","8.12.1","63","","","","0"
"2016","Manitoba","2016A000246","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598790","8.13.1","36","","","","0"
"2016","Manitoba","2016A000246","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598791","8.14.1","48","","","","0"
"2016","Manitoba","2016A000246","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598792","8.15.1","59","","","","0"
"2016","Manitoba","2016A000246","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598793","8.16.1","53","","","","0"
"2016","Manitoba","2016A000246","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598794","8.17.1","63","","","","0"
"2016","Manitoba","2016A000246","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598795","8.18.1","","x","","","0"
"2016","Saskatchewan","2016A000247","All characteristics","Participation rate","Percent","239","units","0","v1273598796","9.1.1","55","","","","0"
"2016","Saskatchewan","2016A000247","Were living with their parents","Participation rate","Percent","239","units","0","v1273598797","9.2.1","56","","","","0"
"2016","Saskatchewan","2016A000247","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598798","9.3.1","38","","","","0"
"2016","Saskatchewan","2016A000247","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598799","9.4.1","29","","","","0"
"2016","Saskatchewan","2016A000247","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598800","9.5.1","41","","","","0"
"2016","Saskatchewan","2016A000247","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598801","9.6.1","62","","","","0"
"2016","Saskatchewan","2016A000247","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598802","9.7.1","56","","","","0"
"2016","Saskatchewan","2016A000247","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598803","9.8.1","73","","","","0"
"2016","Saskatchewan","2016A000247","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598804","9.9.1","66","","","","0"
"2016","Saskatchewan","2016A000247","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598805","9.10.1","41","","","","0"
"2016","Saskatchewan","2016A000247","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598806","9.11.1","40","","","","0"
"2016","Saskatchewan","2016A000247","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598807","9.12.1","61","","","","0"
"2016","Saskatchewan","2016A000247","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598808","9.13.1","41","","","","0"
"2016","Saskatchewan","2016A000247","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598809","9.14.1","55","","","","0"
"2016","Saskatchewan","2016A000247","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598810","9.15.1","56","","","","0"
"2016","Saskatchewan","2016A000247","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598811","9.16.1","54","","","","0"
"2016","Saskatchewan","2016A000247","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598812","9.17.1","68","","","","0"
"2016","Saskatchewan","2016A000247","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598813","9.18.1","39","","","","0"
"2016","Alberta","2016A000248","All characteristics","Participation rate","Percent","239","units","0","v1273598814","10.1.1","62","","","","0"
"2016","Alberta","2016A000248","Were living with their parents","Participation rate","Percent","239","units","0","v1273598815","10.2.1","62","","","","0"
"2016","Alberta","2016A000248","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598816","10.3.1","43","","","","0"
"2016","Alberta","2016A000248","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598817","10.4.1","39","","","","0"
"2016","Alberta","2016A000248","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598818","10.5.1","46","","","","0"
"2016","Alberta","2016A000248","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598819","10.6.1","67","","","","0"
"2016","Alberta","2016A000248","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598820","10.7.1","59","","","","0"
"2016","Alberta","2016A000248","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598821","10.8.1","80","","","","0"
"2016","Alberta","2016A000248","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598822","10.9.1","68","","","","0"
"2016","Alberta","2016A000248","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598823","10.10.1","52","","","","0"
"2016","Alberta","2016A000248","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598824","10.11.1","52","","","","0"
"2016","Alberta","2016A000248","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598825","10.12.1","67","","","","0"
"2016","Alberta","2016A000248","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598826","10.13.1","43","","","","0"
"2016","Alberta","2016A000248","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598827","10.14.1","57","","","","0"
"2016","Alberta","2016A000248","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598828","10.15.1","63","","","","0"
"2016","Alberta","2016A000248","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598829","10.16.1","58","","","","0"
"2016","Alberta","2016A000248","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598830","10.17.1","71","","","","0"
"2016","Alberta","2016A000248","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598831","10.18.1","47","","","","0"
"2016","British Columbia","2016A000259","All characteristics","Participation rate","Percent","239","units","0","v1273598832","11.1.1","68","","","","0"
"2016","British Columbia","2016A000259","Were living with their parents","Participation rate","Percent","239","units","0","v1273598833","11.2.1","69","","","","0"
"2016","British Columbia","2016A000259","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598834","11.3.1","57","","","","0"
"2016","British Columbia","2016A000259","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598835","11.4.1","57","","","","0"
"2016","British Columbia","2016A000259","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598836","11.5.1","57","","","","0"
"2016","British Columbia","2016A000259","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598837","11.6.1","72","","","","0"
"2016","British Columbia","2016A000259","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598838","11.7.1","64","","","","0"
"2016","British Columbia","2016A000259","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598839","11.8.1","82","","","","0"
"2016","British Columbia","2016A000259","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598840","11.9.1","73","","","","0"
"2016","British Columbia","2016A000259","Lowest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598841","11.10.1","64","","","","0"
"2016","British Columbia","2016A000259","Family type, lone parent","Participation rate","Percent","239","units","0","v1273598842","11.11.1","58","","","","0"
"2016","British Columbia","2016A000259","Family type, two parents, married couple","Participation rate","Percent","239","units","0","v1273598843","11.12.1","73","","","","0"
"2016","British Columbia","2016A000259","Family type, two parents, common-law couple","Participation rate","Percent","239","units","0","v1273598844","11.13.1","56","","","","0"
"2016","British Columbia","2016A000259","Were living in a rural area","Participation rate","Percent","239","units","0","v1273598845","11.14.1","58","","","","0"
"2016","British Columbia","2016A000259","Were living in a population centre","Participation rate","Percent","239","units","0","v1273598846","11.15.1","70","","","","0"
"2016","British Columbia","2016A000259","Non-immigrant parents","Participation rate","Percent","239","units","0","v1273598847","11.16.1","60","","","","0"
"2016","British Columbia","2016A000259","At least one immigrant parent","Participation rate","Percent","239","units","0","v1273598848","11.17.1","78","","","","0"
"2016","British Columbia","2016A000259","Were not living with their parents","Participation rate","Percent","239","units","0","v1273598849","11.18.1","49","","","","0"
"2016","Yukon","2016A000260","All characteristics","Participation rate","Percent","239","units","0","v1273598850","12.1.1","68","","","","0"
"2016","Yukon","2016A000260","Were living with their parents","Participation rate","Percent","239","units","0","v1273598851","12.2.1","70","","","","0"
"2016","Yukon","2016A000260","Parental highest level of education: No parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598852","12.3.1","","x","","","0"
"2016","Yukon","2016A000260","Parental highest level of education: No high school diploma","Participation rate","Percent","239","units","0","v1273598853","12.4.1","","x","","","0"
"2016","Yukon","2016A000260","Parental highest level of education: High school diploma","Participation rate","Percent","239","units","0","v1273598854","12.5.1","","x","","","0"
"2016","Yukon","2016A000260","Parental highest level of education: At least one parent with postsecondary education","Participation rate","Percent","239","units","0","v1273598855","12.6.1","","x","","","0"
"2016","Yukon","2016A000260","Parental highest level of education: Above a high school diploma and below a bachelor's degree","Participation rate","Percent","239","units","0","v1273598856","12.7.1","","x","","","0"
"2016","Yukon","2016A000260","Parental highest level of education: Bachelor's degree and above","Participation rate","Percent","239","units","0","v1273598857","12.8.1","","x","","","0"
"2016","Yukon","2016A000260","Highest half of the Canadian households income","Participation rate","Percent","239","units","0","v1273598858","12.9.1","","x","","","0"
